[INV] Invoice ID,[INV] Invoice Line Number,L1_ver,L2_ver,L3_ver,L4_ver,L5_ver
0310-0020256221-2019,258,correct,correct,correct,correct,correct
0900-0020074930-2019,28,correct,correct,correct,correct,correct
7850-3020007287-2019,2,need more info.,need more info.,need more info.,need more info.,need more info.
7540-3020010807-2020,2,incorrect,incorrect,incorrect,incorrect,incorrect
0900-0022014410-2019,2,incorrect,need more info.,need more info.,need more info.,need more info.
0090-3020002069-2019,17,need more info.,need more info.,need more info.,need more info.,need more info.
2040-0020007863-2020,2,correct,correct,correct,correct,correct
2040-0020037336-2019,2,correct,correct,correct,correct,correct
0900-0020044392-2019,2,need more info.,need more info.,need more info.,need more info.,need more info.
2040-0020029406-2019,2,correct,correct,correct,correct,correct
2040-0020033475-2019,2,correct,correct,correct,correct,correct
1160-3020000813-2019,17,correct,correct,correct,correct,correct
0900-0020010400-2020,3,correct,correct,incorrect,incorrect,incorrect
0900-0020063818-2019,2,need more info.,need more info.,need more info.,need more info.,need more info.
2040-0020029441-2019,2,correct,correct,correct,correct,correct
0180-0026110246-2019,2,correct,correct,correct,correct,correct
0310-0020055488-2020,27,correct,correct,correct,correct,correct
0310-0020102647-2020,7,correct,correct,correct,correct,correct
0310-0020055488-2020,35,correct,correct,correct,correct,correct
0310-0020102647-2020,31,correct,correct,correct,correct,correct
0310-0020076959-2020,29,correct,correct,correct,correct,correct
0310-0020032098-2020,45,correct,correct,correct,correct,correct
5260-3020021119-2019,3,correct,correct,correct,correct,correct
0310-0020101307-2020,5,correct,correct,correct,correct,not yet
0310-0020234014-2019,35,correct,correct,correct,correct,correct
0310-0020180574-2019,6,correct,correct,correct,correct,correct
0650-3020013259-2020,13,correct,correct,correct,correct,correct
0310-0020105548-2020,31,incorrect,incorrect,incorrect,incorrect,incorrect
0050-3020000190-2019,2,correct,correct,correct,correct,correct
0510-3010013273-2019,3,correct,correct,correct,correct,correct
0310-0020205612-2019,111,correct,correct,correct,correct,correct
0650-3020054660-2019,14,incorrect,incorrect,incorrect,incorrect,incorrect
7850-3010006834-2020,5,correct,correct,correct,correct,correct
0310-0020104985-2020,219,correct,correct,correct,correct,correct
0650-3020023293-2020,14,correct,correct,correct,correct,correct
0050-3010000495-2020,2,correct,incorrect,incorrect,incorrect,incorrect
0750-3020113498-2019,2,correct,incorrect,incorrect,incorrect,incorrect
1160-3010001179-2020,3,need more info.,need more info.,need more info.,need more info.,need more info.
0900-0020049088-2019,5,correct,correct,correct,correct,correct
0900-0020022188-2020,11,correct,correct,correct,correct,correct
0900-0020074930-2019,7,correct,correct,correct,correct,correct
0470-3020001401-2020,3,incorrect,incorrect,incorrect,incorrect,incorrect
1160-3010002654-2020,2,need more info.,need more info.,need more info.,need more info.,need more info.
0250-3020062015-2019,2,correct,correct,correct,correct,correct
0100-3020006513-2020,3,incorrect,incorrect,incorrect,incorrect,incorrect
0900-0020074930-2019,9,correct,correct,correct,correct,correct
0110-0020032574-2019,2,incorrect,incorrect,incorrect,incorrect,incorrect
5260-3020018938-2019,2,incorrect,incorrect,incorrect,incorrect,incorrect
0250-3020040393-2020,2,incorrect,incorrect,incorrect,incorrect,incorrect
0110-0020061181-2019,2,incorrect,incorrect,incorrect,incorrect,incorrect
1260-3030000073-2019,2,incorrect,incorrect,incorrect,incorrect,incorrect
0900-0022001446-2020,2,need more info.,need more info.,need more info.,need more info.,need more info.
1160-3020000353-2020,2,need more info.,need more info.,need more info.,need more info.,need more info.
1260-3030000060-2019,2,incorrect,incorrect,incorrect,incorrect,incorrect
0090-3020002192-2019,9,incorrect,incorrect,incorrect,incorrect,incorrect
1360-3020009059-2019,2,incorrect,incorrect,incorrect,incorrect,incorrect
0300-0020025848-2019,2,need more info.,need more info.,need more info.,need more info.,need more info.
0250-3010047452-2019,2,correct,incorrect,incorrect,incorrect,incorrect
0310-0026036059-2019,2,correct,correct,correct,correct,correct
