,L1,L2,L3,L4,L5,L1_ver,L2_ver,L3_ver,L4_ver,L5_ver,[INV] Invoice ID
0,Apparel and Luggage and Personal Care Products,Clothing,Clothing,Clothing,Clothing,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1033
1,Apparel and Luggage and Personal Care Products,Clothing,Clothing accessories,Gloves or mittens,Gloves or mittens,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,653
2,Apparel and Luggage and Personal Care Products,Clothing,Clothing accessories,Umbrellas,Umbrellas,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,29
3,Apparel and Luggage and Personal Care Products,Clothing,Dresses and skirts and saris and kimonos,Dresses and skirts and saris and kimonos,Dresses and skirts and saris and kimonos,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,319
4,Apparel and Luggage and Personal Care Products,Clothing,Uniforms,Uniforms,Uniforms,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,76
5,Apparel and Luggage and Personal Care Products,Luggage and handbags and packs and cases,Luggage and handbags and packs and cases,Luggage and handbags and packs and cases,Luggage and handbags and packs and cases,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,84
6,Apparel and Luggage and Personal Care Products,Luggage and handbags and packs and cases,Purses and handbags and bags,Backpacks,Backpacks,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,394
7,Apparel and Luggage and Personal Care Products,Luggage and handbags and packs and cases,Purses and handbags and bags,Purses and handbags and bags,Purses and handbags and bags,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,114
8,Apparel and Luggage and Personal Care Products,Personal care products,Bath and body,Bath and body,Bath and body,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,3
9,Apparel and Luggage and Personal Care Products,Personal care products,Bath and body,Hand or body lotion or oil,Hand or body lotion or oil,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,86
10,Apparel and Luggage and Personal Care Products,Personal care products,Bath and body,Para pharmaceutical creams or lotions,Para pharmaceutical creams or lotions,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,28
11,Apparel and Luggage and Personal Care Products,Personal care products,Bath and body,Soaps,Soaps,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,7
12,Apparel and Luggage and Personal Care Products,Sewing supplies and accessories,Sewing fasteners,Safety pins,Safety pins,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,10
13,Apparel and Luggage and Personal Care Products,Sewing supplies and accessories,Sewing supplies and accessories,Sewing supplies and accessories,Sewing supplies and accessories,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,25
14,Building and Construction Machinery and Accessories,Heavy construction machinery and equipment,Aerial lifts,Boom lift,Boom lift,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,8
15,Building and Construction Machinery and Accessories,Heavy construction machinery and equipment,Building construction machinery and accessories,Building construction machinery and accessories,Building construction machinery and accessories,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,2783
16,Building and Construction Machinery and Accessories,Heavy construction machinery and equipment,Building construction machinery and accessories,Concrete Block Production Machinery,Concrete Block Production Machinery,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,66
17,Building and Construction Machinery and Accessories,Heavy construction machinery and equipment,Building construction machinery and accessories,Concrete mixers or plants,Concrete mixers or plants,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,77
18,Building and Construction Machinery and Accessories,Heavy construction machinery and equipment,Building demolition machinery and equipment,Building demolition machinery and equipment,Building demolition machinery and equipment,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,8
19,Building and Construction Machinery and Accessories,Heavy construction machinery and equipment,Earth moving machinery,Backhoes,Backhoes,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,318
20,Building and Construction Machinery and Accessories,Heavy construction machinery and equipment,Earth moving machinery,Dozer,Dozer,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,25
21,Building and Construction Machinery and Accessories,Heavy construction machinery and equipment,Earth moving machinery,Earth moving machinery,Earth moving machinery,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,512
22,Building and Construction Machinery and Accessories,Heavy construction machinery and equipment,Earth moving machinery,Rollers,Rollers,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,73
23,Building and Construction Machinery and Accessories,Heavy construction machinery and equipment,Heavy construction machinery and equipment,Heavy construction machinery and equipment,Heavy construction machinery and equipment,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1243
24,Building and Construction Machinery and Accessories,Heavy construction machinery and equipment,Heavy equipment components,Heavy equipment components,Heavy equipment components,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,403
25,Building and Construction Machinery and Accessories,Heavy construction machinery and equipment,Heavy equipment components,Hydraulic breaker chisel,Hydraulic breaker chisel,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,26
26,Building and Facility Construction and Maintenance Services,Building construction and facility maintenance and repair services,Building construction and facility maintenance and repair services,Building construction and facility maintenance and repair services,Building construction and facility maintenance and repair services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,23784
27,Building and Facility Construction and Maintenance Services,Building construction and facility maintenance and repair services,Building maintenance and repair services,Air conditioning installation or maintenance or repair service,Air conditioning installation or maintenance or repair service,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,3923
28,Building and Facility Construction and Maintenance Services,Building construction and facility maintenance and repair services,Building maintenance and repair services,Building maintenance and repair services,Building maintenance and repair services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1059
29,Building and Facility Construction and Maintenance Services,Building construction and facility maintenance and repair services,Building maintenance and repair services,Elevator maintenance services,Elevator maintenance services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,82
30,Building and Facility Construction and Maintenance Services,Building construction and facility maintenance and repair services,Building maintenance and repair services,Fire protection system and equipment maintenance or repair service,Fire protection system and equipment maintenance or repair service,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,36
31,Building and Facility Construction and Maintenance Services,Building construction and facility maintenance and repair services,Building maintenance and repair services,Mechanical and electrical service,Mechanical and electrical service,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,3251
32,Building and Facility Construction and Maintenance Services,Building construction and facility maintenance and repair services,Building maintenance and repair services,Other Civil Works,Other Civil Works,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,6
33,Building and Facility Construction and Maintenance Services,Building construction and facility maintenance and repair services,Building maintenance and repair services,Plumbing system maintenance or repair,Plumbing system maintenance or repair,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,981
34,Building and Facility Construction and Maintenance Services,Building construction and facility maintenance and repair services,Grounds or Facility maintenance and repair services,Landscaping services,Landscaping services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,125
35,Building and Facility Construction and Maintenance Services,Building construction and facility maintenance and repair services,Infrastructure maintenance and repair services,Infrastructure maintenance and repair services,Infrastructure maintenance and repair services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,545
36,Building and Facility Construction and Maintenance Services,Building construction and facility maintenance and repair services,Pest control,Pest control,Pest control,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1157
37,Building and Facility Construction and Maintenance Services,General building construction services,General building construction services,General building construction services,General building construction services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,8018
38,Building and Facility Construction and Maintenance Services,General building construction services,Heavy construction services,Infrastructure building and surfacing and paving services,Highway and road paving service,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,13
39,Building and Facility Construction and Maintenance Services,General building construction services,Heavy construction services,Land preparation services,Demolition services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,7
40,Building and Facility Construction and Maintenance Services,General building construction services,Heavy construction services,Land preparation services,Digging services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,278
41,Building and Facility Construction and Maintenance Services,General building construction services,Heavy construction services,Marine construction services,Sheet pile driving service,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,7
42,Building and Facility Construction and Maintenance Services,General building construction services,Nonresidential building construction services,Commercial and office building construction services,Commercial and office building renovation and repair service,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,767
43,Building and Facility Construction and Maintenance Services,General building construction services,Nonresidential building construction services,New industrial building and warehouse construction services,New industrial building and warehouse construction services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,5
44,Building and Facility Construction and Maintenance Services,General building construction services,Nonresidential building construction services,Nonresidential building construction services,Nonresidential building construction services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,11013
45,Building and Facility Construction and Maintenance Services,General building construction services,Nonresidential building construction services,Specialized public building construction services,Specialized public building construction services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,107
46,Building and Facility Construction and Maintenance Services,General building construction services,Residential building construction services,Multiple unit dwelling construction services,General residential construction contractor service,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,913
47,Building and Facility Construction and Maintenance Services,General building construction services,Residential building construction services,Residential building construction services,Residential building construction services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,77
48,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Acoustical and insulation services,Acoustical and ceiling work service,Acoustical and ceiling work service,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,130
49,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Acoustical and insulation services,Acoustical and insulation services,Acoustical and insulation services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1
50,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Boiler and furnace construction or installation and maintenance services,Boiler and furnace construction or installation and maintenance services,Boiler and furnace construction or installation and maintenance services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,73
51,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Building site preparation services,Building site preparation services,Building site preparation services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,4
52,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Carpentry services,Carpentry services,Carpentry services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,133
53,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Coating and caulking and weather and water and fireproofing services,Coating and caulking and weather and water and fireproofing services,Coating and caulking and weather and water and fireproofing services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,563
54,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Coating and caulking and weather and water and fireproofing services,Waterproofing service,Waterproofing service,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,182
55,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Concrete installation and repair services,Concrete installation and repair services,Concrete installation and repair services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,17
56,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Electrical system services,Electrical system services,Electrical system services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,7222
57,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Floor laying services,Floor covering installation or maintenance,Floor covering installation or maintenance,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,20
58,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Floor laying services,Floor laying services,Floor laying services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,632
59,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Glass and glazing services,Glass and glazing services,Glass and glazing services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,719
60,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Heating and cooling and air conditioning HVAC construction and maintenance services,Heating and cooling and air conditioning HVAC installation and maintenance service,Heating and cooling and air conditioning HVAC installation and maintenance service,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,131
61,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Instrumentation installation maintenance and repair services,Instrumentation installation maintenance and repair services,Instrumentation installation maintenance and repair services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,168
62,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Interior finishing and furnishing and remodeling services,Interior design or decorating,Interior design or decorating,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,51
63,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Interior finishing and furnishing and remodeling services,Kitchen and bathroom remodeling service,Kitchen and bathroom remodeling service,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,240
64,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Machine installation and maintenance and repair services,Machine installation and maintenance and repair services,Machine installation and maintenance and repair services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,38
65,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Masonry and stonework and tile setting services,Masonry and stonework and tile setting services,Masonry and stonework and tile setting services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,377
66,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Masonry and stonework and tile setting services,Refractory or acid brick masonry service,Refractory or acid brick masonry service,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,845
67,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Motive and electrical power generation equipment maintenance and repair services,Motor installation and maintenance service,Motor installation and maintenance service,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,3206
68,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Painting and paper hanging services,Interior painting services,Interior painting services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,173
69,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Painting and paper hanging services,Painting and paper hanging services,Painting and paper hanging services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,380
70,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Plastering and drywall services,Plastering and drywall services,Plastering and drywall services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,10
71,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Rigging and scaffolding services,Scaffolding services,Scaffolding services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,3364
72,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Roofing and siding and sheet metal services,Roof waterproofing,Roof waterproofing,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,14
73,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Roofing and siding and sheet metal services,Roofing and siding and sheet metal services,Roofing and siding and sheet metal services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,27
74,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Roofing and siding and sheet metal services,Roofing installation or repair service,Roofing installation or repair service,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,11621
75,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Safety and security system installation services,Safety and security system installation services,Safety and security system installation services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,46
76,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Specialized trade construction and maintenance services,Specialized trade construction and maintenance services,Specialized trade construction and maintenance services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1431
77,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Specialty building and trades services,Fence construction service,Fence construction service,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,16
78,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Specialty building and trades services,Fencing and railing service,Fencing and railing service,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,35
79,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Structural exterior cleaning services,Building exterior sandblasting service,Building exterior sandblasting service,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1181
80,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Structural exterior cleaning services,High pressure water blasting,High pressure water blasting,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,2
81,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Terrazzo tile and marble and mosaic services,Terrazzo tile and marble and mosaic services,Terrazzo tile and marble and mosaic services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,216
82,Building and Facility Construction and Maintenance Services,Specialized trade construction and maintenance services,Water well drilling services,Water well drilling services,Water well drilling services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,5
83,Chemicals including Bio Chemicals and Gas Materials,Additives,Additives,Additives,Additives,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,5197
84,Chemicals including Bio Chemicals and Gas Materials,Additives,Buffers,Buffers,Buffers,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,109
85,Chemicals including Bio Chemicals and Gas Materials,Additives,Catalysts,Catalysts,Catalysts,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,432
86,Chemicals including Bio Chemicals and Gas Materials,Additives,Chemical scavengers,Oxygen scavengers,Oxygen scavengers,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,26
87,Chemicals including Bio Chemicals and Gas Materials,Additives,Colloids,Aerosols,Aerosols,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,18
88,Chemicals including Bio Chemicals and Gas Materials,Additives,Colloids,Colloids,Colloids,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,37
89,Chemicals including Bio Chemicals and Gas Materials,Additives,Colloids,Emulsions,Emulsions,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,318
90,Chemicals including Bio Chemicals and Gas Materials,Additives,Curing agents,Concrete additive,Concrete additive,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1662
91,Chemicals including Bio Chemicals and Gas Materials,Additives,Curing agents,Concrete additive,Waterproofing admixtures,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,198
92,Chemicals including Bio Chemicals and Gas Materials,Additives,Food or drug additives,Food or drug additives,Food or drug additives,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,40
93,Chemicals including Bio Chemicals and Gas Materials,Additives,Paper plastic and fabric modifiers,Optical brightener,Optical brightener,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,13
94,Chemicals including Bio Chemicals and Gas Materials,Additives,Paper plastic and fabric modifiers,Sizing agent,Sizing agent,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1301
95,Chemicals including Bio Chemicals and Gas Materials,Additives,Plasticizers,Plasticizers,Plasticizers,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1
96,Chemicals including Bio Chemicals and Gas Materials,Additives,Processing aids,Processing aids,Processing aids,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,3
97,Chemicals including Bio Chemicals and Gas Materials,Additives,Surfactants,Anti foaming agents,Anti foaming agents,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,349
98,Chemicals including Bio Chemicals and Gas Materials,Additives,Surfactants,Surfactants,Surfactants,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,72
99,Chemicals including Bio Chemicals and Gas Materials,Additives,Surfactants,Wetting agents,Wetting agents,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,11
100,Chemicals including Bio Chemicals and Gas Materials,Additives,Waterproofing agents,Waterproofing agents,Waterproofing agents,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,125
101,Chemicals including Bio Chemicals and Gas Materials,Colorants,Color compounds and dispersions,Inks,Inks,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,8131
102,Chemicals including Bio Chemicals and Gas Materials,Colorants,Colorants,Colorants,Colorants,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,5504
103,Chemicals including Bio Chemicals and Gas Materials,Colorants,Dyes,Dyes,Dyes,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,177
104,Chemicals including Bio Chemicals and Gas Materials,Colorants,Pigments,Chrome green,Chrome green,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1
105,Chemicals including Bio Chemicals and Gas Materials,Colorants,Pigments,Pigments,Pigments,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,3672
106,Chemicals including Bio Chemicals and Gas Materials,Colorants,Pigments,Titanium dioxide,Titanium dioxide,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,77
107,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Biochemicals,Carbohydrates or its derivatives,Starch,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,6652
108,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Biochemicals,Stearates,Stearates,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,17
109,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Compounds and mixtures,Compounds and mixtures,Compounds and mixtures,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,21733
110,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Inorganic compounds,Alumina and other aluminum compounds,Alumina and other aluminum compounds,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,159
111,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Inorganic compounds,Inorganic acids,Hydrochloric acid,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,142
112,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Inorganic compounds,Inorganic acids,Hypochlorous acid,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1279
113,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Inorganic compounds,Inorganic acids,Phosphoric acid,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,18
114,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Inorganic compounds,Inorganic acids,Sulfuric acid,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,228
115,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Inorganic compounds,Inorganic compounds,Inorganic compounds,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1593
116,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Inorganic compounds,Inorganic hydroxides,Aluminium hydroxide AlO3H3,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,18
117,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Inorganic compounds,Inorganic hydroxides,Ammonium hydroxide,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,27
118,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Inorganic compounds,Inorganic hydroxides,Calcium hydroxide,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,33
119,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Inorganic compounds,Inorganic hydroxides,Potassium hydroxide,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,22
120,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Inorganic compounds,Inorganic hydroxides,Sodium hydroxide,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,5312
121,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Inorganic compounds,Inorganic metal salts,Aluminium sulfate,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,2109
122,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Inorganic compounds,Inorganic metal salts,Calcium carbonate CaCO3,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,2985
123,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Inorganic compounds,Inorganic metal salts,Inorganic metal salts,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,124
124,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Inorganic compounds,Inorganic metal salts,Magnesium carbonate MgCO3,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,51
125,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Inorganic compounds,Inorganic metal salts,Sodium bicarbonate,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,4
126,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Inorganic compounds,Inorganic metal salts,Sodium bisulfite NaHSO3,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,26
127,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Inorganic compounds,Inorganic metal salts,Sodium carbonate,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,24
128,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Inorganic compounds,Inorganic metal salts,Sodium chloride NaCl,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,446
129,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Inorganic compounds,Inorganic metal salts,Sodium sulfate Na2SO4,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,176
130,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Inorganic compounds,Inorganic oxides,Calcium oxide CaO,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,2252
131,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Inorganic compounds,Inorganic oxides,Inorganic oxides,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,69
132,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Inorganic compounds,Inorganic peroxides,Hydrogen peroxide,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,490
133,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Inorganic compounds,Silica,Silica,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1406
134,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Inorganic compounds,Silicates,Silicates,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,116
135,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Organic derivatives and substituted compounds,Alcohols or its substitutes,Alcohols or its substitutes,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,38
136,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Organic derivatives and substituted compounds,Ethylene glycol,Ethylene glycol,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,18
137,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Organic derivatives and substituted compounds,Ketones or quinones or its substitutes,Ketones or quinones or its substitutes,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,68
138,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Organic derivatives and substituted compounds,Organic derivatives and substituted compounds,Organic derivatives and substituted compounds,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1295
139,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Organic derivatives and substituted compounds,Organic peroxides,Organic peroxides,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,570
140,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Organic derivatives and substituted compounds,Propylene glycol,Propylene glycol,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,9
141,Chemicals including Bio Chemicals and Gas Materials,Elements and gases,Industrial use gases,Ammonia,Ammonia,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,7
142,Chemicals including Bio Chemicals and Gas Materials,Elements and gases,Industrial use gases,Carbon dioxide gas CO2,Carbon dioxide gas CO2,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,131
143,Chemicals including Bio Chemicals and Gas Materials,Elements and gases,Industrial use gases,Carbon dioxide gas CO2,Carbon dioxide gas CO2 - liquid state,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,38
144,Chemicals including Bio Chemicals and Gas Materials,Elements and gases,Industrial use gases,Dry ice,Dry ice,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,8
145,Chemicals including Bio Chemicals and Gas Materials,Elements and gases,Industrial use gases,Industrial use gases,Industrial use gases,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,919
146,Chemicals including Bio Chemicals and Gas Materials,Elements and gases,Industrial use gases,Refrigerant,Refrigerant,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,9
